"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18020143010643394,17841454427175514,wasteheroeducation,"Waste Hero Education","🔄 Rethink, reduce, reuse! From practical tips to life-changing habits, discover everything you and your friends or family need to know about sustainable living at https://bit.ly/3Qkypc4 Let’s protect our planet! 🌍💚

 #EcoConscious #LearnToRecycle #YouthEmpowerment #WasteHeroEducation #ZeroWaste #ZeroWasteEducationSchool #ZeroWasteEducation #ZeroWasteSchool",0,"01/08/2025 11:30",https://www.instagram.com/p/DEk48ByvArq/,"IG image",,Lifetime,72,40,4,0,0,0,0
17956268207856785,17841454427175514,wasteheroeducation,"Waste Hero Education","🌍✨ New Year, New You! Ready to Become a Waste Hero? ✨🌍
Start your journey toward a greener planet today! Follow these simple 4 steps and learn more at www.wasteheroeducation.com! 

#EcoConscious #LearnToRecycle #YouthEmpowerment #WasteHeroEducation #ZeroWaste #ZeroWasteEducationSchool #ZeroWasteEducation #ZeroWasteSchool",0,"01/03/2025 13:03",https://www.instagram.com/p/DEYLbFnzjdR/,"IG image",,Lifetime,94,44,1,0,0,0,1
18041464469727847,17841454427175514,wasteheroeducation,"Waste Hero Education","Make your Christmas a little greener this year! 🎄♻️
Here are a few holiday items you can recycle or reuse to reduce waste and give materials a second life:

✨ Wrapping paper
🎁 Present boxes
💡 Christmas lights
🎄 Christmas trees
🎨 Holiday cards (turn them into gift tags or crafts!)
⭐ Christmas ornaments 

Small actions add up—especially during the holidays.
Learn more about zero-waste living at WasteHeroEducation.com.

#WasteHero #ZeroWasteHolidays #RecycleRight #SustainableChristmas #CircularEconomy",0,"12/29/2025 06:05",https://www.instagram.com/p/DS2ZqhJj1m4/,"IG image",,Lifetime,80,40,2,0,0,0,0
17989117562751411,17841454427175514,wasteheroeducation,"Waste Hero Education","Great news for this year! 🎉💻
Our Waste Hero: Recycling & Circular Economy course is now available on Udemy, designed to make learning about sustainability in motion, practical, and easy for all ages.

Inside the course, you’ll find:
✔️ Simple, family-friendly lessons
✔️ Practical tips you can use at home
✔️ Quizzes and downloadable activities
✔️ Captions and translations to support every learner

Build zero-waste habits together and empower your kids to become real-life Waste Heroes. 🌍♻️
Start learning today at https://loom.ly/GQ7WtlE 

#WasteHeroEducation #FamilyLearning #EcoFriendlyLiving #ZeroWasteHome #SustainabilityForFamilies #UdemyCourse",0,"12/26/2025 23:00",https://www.instagram.com/p/DSwfsCwkrXD/,"IG image",,Lifetime,186,110,5,2,0,0,0
18078280478225840,17841454427175514,wasteheroeducation,"Waste Hero Education","Wishing you a Merry Christmas, Happy Holiday and Happy New Year 🌟♻️
May your holidays be merry, bright, and kinder to the planet. 🎄🌍

Waste Hero Education is a global learning program designed for K–12 and university students, offering resources that make sustainability easy, engaging, and accessible for all.
Here’s what you can explore:
♻️ 19 free lesson plans
♻️ A 6-level curriculum for K–12 and university learners
♻️ Teacher scripts with guiding questions for smooth classroom delivery
♻️ Available in 10 languages 🎉

Discover how to build zero-waste habits through our free resources — visit www.WasteHeroEducation.com

#WasteHeroEducation #EcoConscious #LearnToRecycle #GreenHolidays #SustainableSeason",0,"12/24/2025 21:00",https://www.instagram.com/p/DSrIZlBEsP0/,"IG image",,Lifetime,73,38,1,0,0,0,0
18392883466178690,17841454427175514,wasteheroeducation,"Waste Hero Education","Did you know? 🎁🌍
The amount of discarded wrapping paper during the holiday season could stretch all the way from Earth to the Moon! That’s 384,400 km of waste!

This Christmas, let’s rethink our habits.
Choose reusable wrapping, recycle properly, and keep our planet at the top of the nice list. 🎄♻️✨

Small actions make a big difference. Learn more at www.WasteHeroEducation.com 

#WasteHeroEducation #ZeroWasteHolidays #RecycleRight #CircularEconomy #EcoFriendlyGifts #SustainableSeason",0,"12/23/2025 05:03",https://www.instagram.com/p/DSm15GtEgAz/,"IG image",,Lifetime,119,60,2,0,0,0,0
18354732247164711,17841454427175514,wasteheroeducation,"Waste Hero Education","Holiday season + family time = the perfect moment to start fresh eco-habits! 🎄♻️
Recycle better, waste less, and choose circular solutions this festive season.

#WasteHeroEducation #EcoConscious #LearnToRecycle #GreenHolidays #SustainableSeason",13,"12/21/2025 04:01",https://www.instagram.com/reel/DShlWtVCkix/,"IG reel",,Lifetime,63,46,1,0,0,0,0
18088507147826901,17841454427175514,wasteheroeducation,"Waste Hero Education","Last month, Waste Hero had the opportunity to visit St. Andrews School Sukhumvit 71, Bangkok,Thailand, engaging with the enthusiastic members of the St. Andrews Eco Beast Club. 💡

With recycling as one of the club’s key focus areas, the Waste Hero team led by Sam Shwartz, delivered an interactive classroom session that combined learning with play. Students explored recycling best practices through hands-on activities, including matching everyday items to the correct recycling categories.

The Eco Beasts showed particular curiosity about the seven different types of plastic. They had the opportunity to examine each type up close and learn key differences, such as which plastics are most recyclable (e.g. PET Type 1) and which cannot be recycled. ♻️ ❌

Across two days and two classes, students gained a broader understanding of recycling systems and the circular economy, equipping them with practical knowledge to support more sustainable habits.

Thank you to St. Andrews School Sukhumvit 71 and the Eco Beast Club for the warm welcome and inspiring engagement. 

Interested in having Waste Hero join your classroom? Let us know or email us at WasteHero@yunus-thailand.org we would love to connect.

#WasteHeroEducation #EcoTeaching #EducationForSustainability #CircularEconomy #WasteHeroSchool",0,"12/18/2025 20:00",https://www.instagram.com/p/DSbkvaiEt0K/,"IG image",,Lifetime,141,68,4,2,0,0,0
18153699250419469,17841454427175514,wasteheroeducation,"Waste Hero Education","Tips for Christmas Eco-conscious Edition! 🌿✨
Check out these simple tips to make this season eco-friendly and joyously sustainable! 🎄♻️ 🔄
.
Learn more about zero waste, recycling, and the circular economy with your loved ones during this break via www.WasteHeroEducation.com
.
#WasteHeroEducation #EcoConscious #LearnToRecycle #GreenHolidays #SustainableSeason",0,"12/17/2025 02:01",https://www.instagram.com/p/DSXEY7rDM7A/,"IG image",,Lifetime,71,28,0,0,0,0,0
17883808533307071,17841454427175514,wasteheroeducation,"Waste Hero Education","Need Christmas gift inspo? Swipe for eco-friendly ideas ➡️

Elevate your gift game this season with thoughtful presents for a Waste Hero that spread joy. 🌍🎁
Explore simple, accessible, and meaningful gift options to make your holidays brighter and greener.

Learn more about recycling, zero waste, and the circular economy through our free resources available via www.WasteHeroEducation.com",0,"12/15/2025 03:01",https://www.instagram.com/p/DSSBvXZDRhN/,"IG carousel",,Lifetime,105,42,1,0,0,0,0
